Alcaldia,Intensidad,Entidad,Area,Perimetro
Iztapalapa,Alto,Ciudad de MÃ©xico,207040.24268599998,1876.078838
Iztacalco,Alto,Ciudad de MÃ©xico,469339.97079700005,2766.59151908
Iztapalapa,Alto,Ciudad de MÃ©xico,247835.317358,2932.50107006
Iztapalapa,Medio,Ciudad de MÃ©xico,74213.1262954,1246.43517169
Iztapalapa,Alto,Ciudad de MÃ©xico,23373.5948851,640.585508441
Iztapalapa,Medio,Ciudad de México,191314.38176400002,1873.76868905
Gustavo A. Madero,Bajo,Ciudad de México,300391.097927,2430.00331631
Xochimilco,Muy Bajo,Ciudad de México,562014.680092,4994.4567041
Tlalpan,Bajo,Ciudad de México,415660.46979400003,2698.32375533
Iztapalapa,Medio,Ciudad de México,124169.966604,1651.97778881
Tlalpan,Muy Bajo,Ciudad de México,438616.80556999997,3910.40755386
Iztapalapa,Muy Alto,Ciudad de México,182703.3783,2305.98805165
Iztapalapa,Bajo,Ciudad de México,350414.168587,2827.41661651
Iztapalapa,Medio,Ciudad de México,211213.949888,2444.31455617
Gustavo A. Madero,Medio,Ciudad de México,181930.28483299998,1985.50579127
Iztacalco,Medio,Ciudad de México,80841.25852419999,1371.66719252
Iztacalco,Alto,Ciudad de México,201651.757718,2080.09967233
Coyoacán,Bajo,Ciudad de México,87380.91404419999,1290.99266778
Coyoacán,Medio,Ciudad de México,170981.038979,1809.62052304
Iztapalapa,Bajo,Ciudad de México,248471.91360700002,2850.36916365
Iztapalapa,Alto,Ciudad de México,153979.278808,1585.7355119000001
Venustiano Carranza,Muy Bajo,Ciudad de México,65365.027438,1290.95706217
Venustiano Carranza,Bajo,Ciudad de México,240624.55359899998,1961.77952681
Cuauhtémoc,Muy Bajo,Ciudad de México,36117.9569985,890.932641912
Cuauhtémoc,Bajo,Ciudad de México,137669.90864500002,1493.37942608
Cuauhtémoc,Muy Bajo,Ciudad de México,68904.49183239999,1341.77500331
Cuauhtémoc,Muy Bajo,Ciudad de México,27873.8009774,739.859544333
Venustiano Carranza,Muy Alto,Ciudad de México,25787.0231652,796.984021998
Cuauhtémoc,Bajo,Ciudad de México,314454.65345,2394.95206534
Gustavo A. Madero,Medio,Ciudad de México,237693.95119099997,2042.78361789
Iztacalco,Alto,Ciudad de México,185013.184236,1701.72225516
Cuauhtémoc,Bajo,Ciudad de México,201921.49264,2117.89649075
Cuauhtémoc,Bajo,Ciudad de México,205806.95892,1864.92838651
Gustavo A. Madero,Bajo,Ciudad de México,208833.33543399998,2542.92200946
Gustavo A. Madero,Medio,Ciudad de México,302067.62265100004,2307.51370782
Gustavo A. Madero,Muy Alto,Ciudad de México,570674.121931,3137.28737446
Iztacalco,Medio,Ciudad de México,362021.954658,2570.01648041
Gustavo A. Madero,Medio,Ciudad de México,228236.37597399997,1986.05025315
Gustavo A. Madero,Medio,Ciudad de México,169959.069192,1829.96321734
Gustavo A. Madero,Alto,Ciudad de México,235505.090188,2144.03745491
